Income;Age;Sex;Region;Employment;Retailer
£10000-£14999;45-54;Female;East Midlands;Retired;Apple
£30000-£39999;35-44;Male;South East;Permanent-Full-time-Employment;Apple
£30000-£39999;35-44;Female;East Midlands;Retired;Apple
£10000-£14999;25-34;Female;North West;House-Wife-Or;Apple
£30000-£39999;55+;Female;North-East;Permanent-Full-time-Employment;Apple
<£10000;18-24;Male;North West;Retired;Apple
£20000-£29999;35-44;Female;London;Retired;Apple
<£10000;18-24;Male;London;Unable-to-Work;Apple
£20000-£29999;18-24;Male;Yorkshire;Without-Work;Apple
£40000-£49999;35-44;Male;Yorkshire;Retired;Apple
£20000-£29999;18-24;Male;South-West;Student-Or-Internship;Apple
£20000-£29999;55+;Female;Yorkshire;Retired;Apple
<£10000;18-24;Male;North West;Unpaid-Employment;Apple
£20000-£29999;55+;Male;South East;Retired;Apple
£15000-£19999;55+;Female;West-Midlands;Retired;Apple
£20000-£29999;25-34;Female;Scotland;Permanent-Full-time-Employment;Apple
£10000-£14999;55+;Male;London;Retired;Apple
£15000-£19999;18-24;Male;North West;Permanent-Full-time-Employment;Apple
£10000-£14999;55+;Male;South East;Permanent-Full-time-Employment;Apple
£20000-£29999;55+;Male;London;Self-employed-.-Freelance;Apple
£15000-£19999;18-24;Female;West-Midlands;Permanent-Full-time-Employment;Apple
£10000-£14999;55+;Male;North-East;Permanent-Full-time-Employment;Apple
£15000-£19999;25-34;Male;Scotland;Permanent-Part-time-Employment;Apple
<£10000;35-44;Male;Wales;Permanent-Full-time-Employment;Apple
£40000-£49999;45-54;Male;South East;Permanent-Part-time-Employment;Apple
£20000-£29999;18-24;Female;East;Retired;Apple
<£10000;25-34;Male;London;Permanent-Part-time-Employment;Apple
£40000-£49999;45-54;Male;London;Student-Or-Internship;Apple
£10000-£14999;25-34;Female;London;Self-employed-.-Freelance;Apple
£15000-£19999;25-34;Male;East Midlands;Student-Or-Internship;Apple
£15000-£19999;55+;Female;South East;Self-employed-.-Freelance;Apple
£20000-£29999;18-24;Male;South East;Permanent-Full-time-Employment;Apple
£10000-£14999;18-24;Male;Wales;Student-Or-Internship;Apple
<£10000;45-54;Male;Scotland;Self-employed-.-Freelance;Apple
£20000-£29999;35-44;Female;London;Permanent-Full-time-Employment;Apple
<£10000;45-54;Male;Northern-Ireland;Self-employed-.-Freelance;Apple
£20000-£29999;18-24;Female;North-East;Permanent-Full-time-Employment;Apple
£15000-£19999;35-44;Male;North-East;Permanent-Full-time-Employment;Apple
£20000-£29999;35-44;Male;East;Student-Or-Internship;Apple
<£10000;18-24;Male;South East;Student-Or-Internship;Apple
<£10000;35-44;Female;London;Permanent-Full-time-Employment;Apple
£30000-£39999;25-34;Female;Wales;Retired;Apple
£10000-£14999;18-24;Male;South East;Self-employed-.-Freelance;Apple
<£10000;25-34;Male;East;Permanent-Full-time-Employment;Apple
£15000-£19999;45-54;Female;West-Midlands;House-Wife-Or;Apple
<£10000;25-34;Male;London;Retired;Apple
£20000-£29999;25-34;Male;London;Permanent-Full-time-Employment;Apple
£10000-£14999;25-34;Male;West-Midlands;Without-Work;Apple
£10000-£14999;18-24;Female;West-Midlands;Permanent-Part-time-Employment;Apple
<£10000;45-54;Male;East;House-Wife-Or;Apple
£10000-£14999;35-44;Female;South East;Permanent-Full-time-Employment;Apple
£10000-£14999;45-54;Male;East Midlands;Student-Or-Internship;Apple
£20000-£29999;25-34;Male;East Midlands;Retired;Apple
£20000-£29999;18-24;Male;Yorkshire;Retired;Apple
£30000-£39999;18-24;Female;South-West;Retired;Apple
£30000-£39999;18-24;Male;London;Permanent-Part-time-Employment;Apple
£30000-£39999;18-24;Male;North West;Permanent-Full-time-Employment;Apple
£20000-£29999;18-24;Female;Yorkshire;Retired;Apple
£40000-£49999;18-24;Male;Scotland;Permanent-Full-time-Employment;Apple
£50000-£59999;45-54;Male;Wales;Unpaid-Employment;Apple
<£10000;45-54;Female;East Midlands;Permanent-Part-time-Employment;Apple
£10000-£14999;25-34;Male;London;Self-employed-.-Freelance;Apple
<£10000;25-34;Male;North West;Self-employed-.-Freelance;Apple
£40000-£49999;18-24;Female;North-East;Permanent-Full-time-Employment;Apple
£30000-£39999;45-54;Female;North West;Permanent-Full-time-Employment;Apple
£20000-£29999;55+;Male;South-West;Retired;Apple
£20000-£29999;45-54;Male;London;Permanent-Full-time-Employment;Apple
£30000-£39999;45-54;Male;South-West;Permanent-Full-time-Employment;Apple
£10000-£14999;45-54;Male;London;House-Wife-Or;Apple
£30000-£39999;45-54;Female;London;House-Wife-Or;Apple
£10000-£14999;25-34;Male;South East;House-Wife-Or;Apple
£20000-£29999;18-24;Female;South-West;Permanent-Full-time-Employment;Apple
£20000-£29999;35-44;Female;London;Permanent-Full-time-Employment;Apple
£40000-£49999;45-54;Male;South-West;Retired;Apple
£50000-£59999;45-54;Male;London;Retired;Apple
£15000-£19999;18-24;Female;West-Midlands;Permanent-Full-time-Employment;Apple
£50000-£59999;55+;Male;North West;House-Wife-Or;Apple
£10000-£14999;25-34;Female;South East;Permanent-Full-time-Employment;Apple
£50000-£59999;25-34;Female;East Midlands;Permanent-Full-time-Employment;Apple
£40000-£49999;18-24;Female;Yorkshire;Retired;Apple
<£10000;25-34;Male;Yorkshire;Retired;Apple
£10000-£14999;35-44;Female;Yorkshire;Retired;Apple
£20000-£29999;25-34;Male;South East;Permanent-Full-time-Employment;Apple
£10000-£14999;45-54;Male;Wales;Without-Work;Apple
£30000-£39999;18-24;Male;South East;Permanent-Full-time-Employment;Apple
<£10000;18-24;Female;London;Permanent-Full-time-Employment;Apple
<£10000;25-34;Male;North West;Permanent-Full-time-Employment;Apple
£20000-£29999;25-34;Female;London;House-Wife-Or;Apple
£20000-£29999;45-54;Female;North West;Retired;Apple
£10000-£14999;25-34;Male;North West;Retired;Apple
£15000-£19999;18-24;Male;East;Permanent-Part-time-Employment;Apple
£40000-£49999;55+;Female;South East;Permanent-Part-time-Employment;Apple
£20000-£29999;45-54;Female;Scotland;Permanent-Full-time-Employment;Apple
£50000-£59999;18-24;Female;South East;House-Wife-Or;Apple
<£10000;35-44;Male;West-Midlands;Without-Work;Apple
£15000-£19999;35-44;Male;London;Unpaid-Employment;Apple
<£10000;25-34;Female;East;Retired;Apple
£20000-£29999;18-24;Male;South East;Permanent-Full-time-Employment;Apple
£15000-£19999;55+;Female;East Midlands;Permanent-Full-time-Employment;Apple
£30000-£39999;25-34;Female;Yorkshire;Permanent-Full-time-Employment;Apple
£30000-£39999;45-54;Female;South-West;Retired;Apple
<£10000;45-54;Male;West-Midlands;Permanent-Full-time-Employment;Apple
£20000-£29999;45-54;Female;Scotland;Permanent-Full-time-Employment;Apple
£15000-£19999;35-44;Male;South East;Permanent-Full-time-Employment;Apple
<£10000;25-34;Female;Wales;Permanent-Full-time-Employment;Apple
£15000-£19999;55+;Male;East Midlands;Permanent-Full-time-Employment;Apple
£40000-£49999;45-54;Male;South East;Permanent-Full-time-Employment;Apple
<£10000;25-34;Female;North West;Permanent-Full-time-Employment;Apple
£30000-£39999;55+;Female;London;Retired;Apple
£20000-£29999;18-24;Male;Wales;Unable-to-Work;Apple
£30000-£39999;45-54;Female;London;Permanent-Full-time-Employment;Apple
£20000-£29999;25-34;Female;North West;Permanent-Full-time-Employment;Apple
£30000-£39999;45-54;Male;London;Retired;Apple
£30000-£39999;18-24;Male;East;House-Wife-Or;Apple
£50000-£59999;18-24;Female;East Midlands;Unable-to-Work;Apple
£15000-£19999;25-34;Female;South East;Permanent-Full-time-Employment;Apple
£20000-£29999;55+;Male;London;Permanent-Part-time-Employment;Apple
£10000-£14999;25-34;Female;South East;Permanent-Full-time-Employment;Apple
£15000-£19999;18-24;Male;North West;House-Wife-Or;Apple
<£10000;18-24;Female;South East;Permanent-Full-time-Employment;Apple
£20000-£29999;35-44;Female;North West;Permanent-Full-time-Employment;Apple
£70000-£99999;18-24;Male;East;House-Wife-Or;Apple
£10000-£14999;25-34;Male;London;Student-Or-Internship;Apple
£20000-£29999;35-44;Male;West-Midlands;Permanent-Full-time-Employment;Apple
<£10000;45-54;Female;North West;Retired;Apple
£10000-£14999;45-54;Female;North-East;Retired;Apple
£15000-£19999;45-54;Male;Scotland;Permanent-Full-time-Employment;Apple
<£10000;25-34;Female;London;Permanent-Full-time-Employment;Apple
<£10000;18-24;Male;North West;Unable-to-Work;Apple
<£10000;18-24;Female;Wales;Unable-to-Work;Apple
£20000-£29999;45-54;Female;South-West;Retired;Apple
£20000-£29999;45-54;Female;North West;Self-employed-.-Freelance;Apple
£20000-£29999;18-24;Male;North West;Permanent-Full-time-Employment;Apple
£10000-£14999;35-44;Female;Wales;Self-employed-.-Freelance;Apple
<£10000;35-44;Female;Scotland;Permanent-Full-time-Employment;Apple
<£10000;45-54;Female;East Midlands;Student-Or-Internship;Apple
£10000-£14999;45-54;Male;Scotland;Permanent-Full-time-Employment;Apple
<£10000;55+;Male;West-Midlands;Student-Or-Internship;Apple
£10000-£14999;25-34;Female;Yorkshire;Permanent-Full-time-Employment;Apple
<£10000;35-44;Male;East Midlands;Retired;Apple
£20000-£29999;55+;Male;London;Student-Or-Internship;Apple
£30000-£39999;55+;Male;North West;Permanent-Full-time-Employment;Apple
£20000-£29999;45-54;Male;East;Permanent-Full-time-Employment;Apple
£40000-£49999;45-54;Female;West-Midlands;Permanent-Full-time-Employment;Apple
£20000-£29999;45-54;Male;North West;Without-Work;Apple
£20000-£29999;45-54;Female;West-Midlands;Permanent-Full-time-Employment;Apple
£40000-£49999;55+;Male;West-Midlands;Permanent-Full-time-Employment;Apple
£60000-£69999;25-34;Male;East Midlands;Self-employed-.-Freelance;Apple
£30000-£39999;25-34;Female;South East;Permanent-Full-time-Employment;Apple
£30000-£39999;45-54;Male;East Midlands;Self-employed-.-Freelance;Apple
<£10000;45-54;Female;Yorkshire;Self-employed-.-Freelance;Apple
£10000-£14999;25-34;Male;Yorkshire;Student-Or-Internship;Apple
£30000-£39999;18-24;Female;North West;Retired;Apple
£40000-£49999;18-24;Female;South East;Permanent-Full-time-Employment;Apple
£20000-£29999;35-44;Male;London;House-Wife-Or;Apple
<£10000;45-54;Female;East;Permanent-Full-time-Employment;Apple
£15000-£19999;55+;Female;South East;Without-Work;Apple
£20000-£29999;45-54;Male;East Midlands;Unable-to-Work;Apple
£20000-£29999;25-34;Female;North West;Permanent-Part-time-Employment;Apple
£10000-£14999;18-24;Male;West-Midlands;Permanent-Part-time-Employment;Apple
<£10000;25-34;Male;North West;Without-Work;Apple
£10000-£14999;18-24;Female;East;Without-Work;Apple
£30000-£39999;35-44;Male;Yorkshire;Permanent-Full-time-Employment;Apple
£20000-£29999;55+;Female;South East;Unpaid-Employment;Apple
<£10000;55+;Male;North West;House-Wife-Or;Apple
£30000-£39999;55+;Female;London;Retired;Apple
£20000-£29999;45-54;Male;South East;Retired;Apple
£20000-£29999;55+;Female;West-Midlands;Permanent-Part-time-Employment;Apple
£10000-£14999;18-24;Female;North West;Self-employed-.-Freelance;Apple
£20000-£29999;18-24;Female;London;Permanent-Full-time-Employment;Apple
<£10000;55+;Male;North West;Permanent-Full-time-Employment;Apple
£10000-£14999;45-54;Male;London;Retired;Apple
<£10000;18-24;Female;North West;Permanent-Full-time-Employment;Apple
£15000-£19999;55+;Female;East;Retired;Apple
£20000-£29999;25-34;Male;South East;Permanent-Full-time-Employment;Apple
£20000-£29999;35-44;Male;London;Student-Or-Internship;Apple
£30000-£39999;35-44;Male;South East;Without-Work;Apple
£15000-£19999;35-44;Male;London;House-Wife-Or;Apple
£15000-£19999;45-54;Male;Scotland;Permanent-Full-time-Employment;Apple
£20000-£29999;35-44;Male;West-Midlands;Permanent-Part-time-Employment;Apple
£40000-£49999;18-24;Male;South East;Permanent-Full-time-Employment;Apple
<£10000;35-44;Male;East Midlands;Permanent-Full-time-Employment;Apple
£10000-£14999;55+;Male;East;Permanent-Full-time-Employment;Apple
£20000-£29999;25-34;Male;Yorkshire;Permanent-Full-time-Employment;Apple
£50000-£59999;45-54;Male;South-West;House-Wife-Or;Apple
<£10000;18-24;Male;Yorkshire;Self-employed-.-Freelance;Apple
£20000-£29999;35-44;Male;London;Permanent-Full-time-Employment;Apple
£20000-£29999;18-24;Female;East;Permanent-Full-time-Employment;Apple
<£10000;45-54;Female;Yorkshire;Without-Work;Apple
£15000-£19999;18-24;Female;South-West;Permanent-Full-time-Employment;Apple
£20000-£29999;55+;Female;London;Retired;Apple
£20000-£29999;55+;Male;Northern-Ireland;Self-employed-.-Freelance;Apple
£15000-£19999;45-54;Female;Yorkshire;House-Wife-Or;Apple
£10000-£14999;25-34;Female;North West;Permanent-Full-time-Employment;Apple
<£10000;35-44;Female;South East;Permanent-Full-time-Employment;Apple
£20000-£29999;45-54;Male;South East;Permanent-Full-time-Employment;Apple
<£10000;45-54;Female;South-West;Permanent-Full-time-Employment;Apple
£30000-£39999;18-24;Female;Yorkshire;Student-Or-Internship;Apple
£15000-£19999;35-44;Male;South East;Retired;Apple
£20000-£29999;55+;Female;London;Permanent-Part-time-Employment;Apple
£20000-£29999;25-34;Male;South East;Without-Work;Apple
£40000-£49999;35-44;Male;Wales;Unable-to-Work;Apple
£10000-£14999;25-34;Female;Yorkshire;House-Wife-Or;Apple
£30000-£39999;25-34;Male;London;Permanent-Full-time-Employment;Apple
£40000-£49999;55+;Female;South East;Retired;Apple
<£10000;35-44;Female;South-West;Retired;Apple
£30000-£39999;55+;Male;West-Midlands;Retired;Apple
£50000-£59999;35-44;Female;London;Permanent-Full-time-Employment;Apple
£30000-£39999;45-54;Female;North West;Unable-to-Work;Apple
£20000-£29999;25-34;Male;South-West;Without-Work;Apple
<£10000;18-24;Male;North West;Permanent-Full-time-Employment;Apple
<£10000;45-54;Male;East;Permanent-Part-time-Employment;Apple
£10000-£14999;25-34;Male;South-West;Without-Work;Apple
£10000-£14999;35-44;Female;South East;Retired;Apple
£10000-£14999;45-54;Female;Scotland;Unable-to-Work;Apple
<£10000;35-44;Male;South East;Permanent-Full-time-Employment;Apple
<£10000;18-24;Male;South-West;Permanent-Full-time-Employment;Apple
<£10000;35-44;Female;Scotland;Unable-to-Work;Apple
£20000-£29999;18-24;Male;South East;Permanent-Full-time-Employment;Apple
£20000-£29999;45-54;Male;East Midlands;Without-Work;Apple
