Income;Age;Sex;Region;Employment;Retailer
£10000-£14999;45-54;Female;East Midlands;Retired;Other
£30000-£39999;35-44;Male;South East;Permanent-Full-time-Employment;Other
£30000-£39999;35-44;Female;East Midlands;Retired;Other
£10000-£14999;25-34;Female;North West;House-Wife-Or;Other
£30000-£39999;55+;Female;North-East;Permanent-Full-time-Employment;Other
<£10000;18-24;Male;North West;Retired;Other
£20000-£29999;35-44;Female;London;Retired;Other
<£10000;18-24;Male;London;Unable-to-Work;Other
£20000-£29999;18-24;Male;Yorkshire;Without-Work;Other
£40000-£49999;35-44;Male;Yorkshire;Retired;Other
£20000-£29999;18-24;Male;South-West;Student-Or-Internship;Other
£20000-£29999;55+;Female;Yorkshire;Retired;Other
<£10000;18-24;Male;North West;Unpaid-Employment;Other
£20000-£29999;55+;Male;South East;Retired;Other
£15000-£19999;55+;Female;West-Midlands;Retired;Other
£20000-£29999;25-34;Female;Scotland;Permanent-Full-time-Employment;Other
£10000-£14999;55+;Male;London;Retired;Other
£15000-£19999;18-24;Male;North West;Permanent-Full-time-Employment;Other
£10000-£14999;55+;Male;South East;Permanent-Full-time-Employment;Other
£20000-£29999;55+;Male;London;Self-employed-.-Freelance;Other
£15000-£19999;18-24;Female;West-Midlands;Permanent-Full-time-Employment;Other
£10000-£14999;55+;Male;North-East;Permanent-Full-time-Employment;Other
£15000-£19999;25-34;Male;Scotland;Permanent-Part-time-Employment;Other
<£10000;35-44;Male;Wales;Permanent-Full-time-Employment;Other
£40000-£49999;45-54;Male;South East;Permanent-Part-time-Employment;Other
£20000-£29999;18-24;Female;East;Retired;Other
<£10000;25-34;Male;London;Permanent-Part-time-Employment;Other
£40000-£49999;45-54;Male;London;Student-Or-Internship;Other
£10000-£14999;25-34;Female;London;Self-employed-.-Freelance;Other
£15000-£19999;25-34;Male;East Midlands;Student-Or-Internship;Other
£15000-£19999;55+;Female;South East;Self-employed-.-Freelance;Other
£20000-£29999;18-24;Male;South East;Permanent-Full-time-Employment;Other
£10000-£14999;18-24;Male;Wales;Student-Or-Internship;Other
<£10000;45-54;Male;Scotland;Self-employed-.-Freelance;Other
£20000-£29999;35-44;Female;London;Permanent-Full-time-Employment;Other
<£10000;45-54;Male;Northern-Ireland;Self-employed-.-Freelance;Other
£20000-£29999;18-24;Female;North-East;Permanent-Full-time-Employment;Other
£15000-£19999;35-44;Male;North-East;Permanent-Full-time-Employment;Other
£20000-£29999;35-44;Male;East;Student-Or-Internship;Other
<£10000;18-24;Male;South East;Student-Or-Internship;Other
<£10000;35-44;Female;London;Permanent-Full-time-Employment;Other
£30000-£39999;25-34;Female;Wales;Retired;Other
£10000-£14999;18-24;Male;South East;Self-employed-.-Freelance;Other
<£10000;25-34;Male;East;Permanent-Full-time-Employment;Other
£15000-£19999;45-54;Female;West-Midlands;House-Wife-Or;Other
<£10000;25-34;Male;London;Retired;Other
£20000-£29999;25-34;Male;London;Permanent-Full-time-Employment;Other
£10000-£14999;25-34;Male;West-Midlands;Without-Work;Other
£10000-£14999;18-24;Female;West-Midlands;Permanent-Part-time-Employment;Other
<£10000;45-54;Male;East;House-Wife-Or;Other
£10000-£14999;35-44;Female;South East;Permanent-Full-time-Employment;Other
£10000-£14999;45-54;Male;East Midlands;Student-Or-Internship;Other
